canonical_country_code,canonical_country_name,year,wdi_gdp_per_capita_current_usd,who_dtp3_immunization_pct,who_hale_birth_years,who_health_expenditure_pct_gdp,who_life_expectancy_birth_years,who_medical_doctors_per_10000
NPL,NPL,2020,1139.2,84.0,61.09515422,5.2080965,70.98964531,8.57
PAK,PAK,2020,1322.1,80.0,56.86688688,2.95273018,65.84948383,
PAK,PAK,2021,1505.0,83.0,56.89014881,2.99015832,65.99092295,11.6
