canonical_country_code,canonical_country_name,year,uis_upper_secondary_attainment_rate_25plus,wdi_gdp_per_capita_current_usd,who_life_expectancy_at_birth_both_sexes
AFG,Afghanistan,2015,9.792360305786133,565.5697304087512,60.33
AFG,Afghanistan,2016,,522.0822155838985,60.39
AFG,Afghanistan,2017,11.7771822147423,525.4697708916185,60.88
AFG,Afghanistan,2018,,491.3372213826032,60.49
AFG,Afghanistan,2019,,496.6025042584997,61.22
AFG,Afghanistan,2020,11.8347043333891,510.78706336681074,60.49
AFG,Afghanistan,2021,9.461310386657715,356.49621411589226,59.13
ALB,Albania,2015,48.1863617042111,4199.539129253976,77.77
ALB,Albania,2016,46.9844844692678,4457.634122074947,77.88
ALB,Albania,2017,46.35334014892578,5006.360129519591,77.91
ALB,Albania,2018,49.8858232395536,5897.654525887742,77.94
ALB,Albania,2019,50.7128654950488,6069.439031310275,77.94
ALB,Albania,2020,51.0498413335601,6027.913507163485,76.53
ALB,Albania,2021,51.8425099304159,7242.455131466127,76.39
CHN,China,2015,,8175.332850773929,76.51
CHN,China,2016,,8254.868593203568,76.72
CHN,China,2017,,8979.676527098563,76.95
CHN,China,2018,,10085.663814881918,77.14
CHN,China,2019,,10342.90095243346,77.31
CHN,China,2020,31.76979064941406,10627.463798961868,77.48
CHN,China,2021,,12887.435724294062,77.62
GBR,United Kingdom of Great Britain and Northern Ireland,2015,,45256.04022705699,80.66
GBR,United Kingdom of Great Britain and Northern Ireland,2016,,41258.5374285695,80.81
GBR,United Kingdom of Great Britain and Northern Ireland,2017,77.11173248291016,40918.05208709441,80.92
GBR,United Kingdom of Great Britain and Northern Ireland,2018,,43704.316229668715,80.62
GBR,United Kingdom of Great Britain and Northern Ireland,2019,,43160.684397179866,81.22
GBR,United Kingdom of Great Britain and Northern Ireland,2020,79.9111328125,40815.125536478736,80.14
GBR,United Kingdom of Great Britain and Northern Ireland,2021,80.46420288085938,47695.64915234745,80.1
IND,India,2015,,1583.998159079848,69.38
IND,India,2016,,1707.5089291224338,69.78
IND,India,2017,,1950.1046828086635,70.06
IND,India,2018,32.34334945678711,1966.254551716789,70.35
IND,India,2019,,2041.4286369858535,70.73
IND,India,2020,31.70944976806641,1907.042516376687,70.19
IND,India,2021,,2239.6138436748224,67.31
PAK,Pakistan,2015,25.4954239952493,1380.4702083831723,65.7
PAK,Pakistan,2016,24.6280665280156,1424.6916119589737,66.05
PAK,Pakistan,2017,27.2532901763916,1519.2345951424784,66.38
PAK,Pakistan,2018,26.0640049316992,1569.3381462635487,66.74
PAK,Pakistan,2019,,1390.416909817447,67.03
PAK,Pakistan,2020,,1278.3973520689553,65.85
PAK,Pakistan,2021,,1455.3192237018598,65.99
USA,United States of America,2015,88.41197204589844,56849.46979231594,78.61
USA,United States of America,2016,89.09236145019531,57976.62820429104,78.56
USA,United States of America,2017,89.81413269042969,60047.71907283069,78.5
USA,United States of America,2018,89.80535888671875,62875.66613827284,78.63
USA,United States of America,2019,94.6938014055522,65227.95659110383,78.74
USA,United States of America,2020,90.94052124023438,64465.297141574825,76.89
USA,United States of America,2021,91.31336212158203,71441.23198059468,76.37
